Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;originalHint;originalResult;participantPosition;participantConfidence;success;trialScore;level;distanceMovedX;distanceMovedY;timeToComplete;actualTrialScore;trialName;tutorialRepeated;timedOut;timedOutCount;reward;totalScore
1;1648543968644;29/03/2022 08:52:48;1648543968421;2;29/03/2022 10:52:48;74063;22;task-uyaf;;20892862;imie71n7;6180731;;complete;;;mobile;Apple iPhone;iOS 15.3.1;Mobile Safari 15.3;375x812;724x285;Social_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;-0.00103370084988821;-0.0173373149433514;50.56626073587422;83.9111111111111;1;8;2;0;16.08888888888889;1831;84;spacetask012;;;0;0;8
2;1648543972658;29/03/2022 08:52:52;1648543972636;2;29/03/2022 10:52:52;74063;22;task-uyaf;;20892862;imie71n7;6180731;;complete;;;mobile;Apple iPhone;iOS 15.3.1;Mobile Safari 15.3;375x812;724x285;Social_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;-0.101781526675275;-0.0588650139533733;57.734437647156156;89.94444444444444;;0;2;9.09090909090909;10.055555555555555;2578;0;spacetask012;;;0;0;8
3;1648543979001;29/03/2022 08:52:59;1648543978949;2;29/03/2022 10:52:58;74063;22;task-uyaf;;20892862;imie71n7;6180731;;complete;;;mobile;Apple iPhone;iOS 15.3.1;Mobile Safari 15.3;375x812;724x285;Social_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;0.0158374366021125;0.0928341272266133;38.60826278747736;83.9111111111111;;0;2;28.57142857142857;16.08888888888889;4241;0;spacetask012;;;0;0;8
4;1648543984902;29/03/2022 08:53:04;1648543984876;2;29/03/2022 10:53:04;74063;22;task-uyaf;;20892862;imie71n7;6180731;;complete;;;mobile;Apple iPhone;iOS 15.3.1;Mobile Safari 15.3;375x812;724x285;Social_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;-0.0391248549754083;0.0581208913072372;60.66074026260494;83.9111111111111;1;8;2;44.15584415584415;16.08888888888889;4611;84;spacetask012;;;0;0;16
5;1648543996233;29/03/2022 08:53:16;1648543996208;2;29/03/2022 10:53:16;74063;22;task-uyaf;;20892862;imie71n7;6180731;;complete;;;mobile;Apple iPhone;iOS 15.3.1;Mobile Safari 15.3;375x812;724x285;Social_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;0.0399277527434575;-0.156101142013103;48.8412730716129;87.93333333333334;;0;2;36.36363636363636;12.066666666666666;3044;0;spacetask012;;1;1;0;16
6;1648544000242;29/03/2022 08:53:20;1648544000211;2;29/03/2022 10:53:20;74063;22;task-uyaf;;20892862;imie71n7;6180731;;complete;;;mobile;Apple iPhone;iOS 15.3.1;Mobile Safari 15.3;375x812;724x285;Social_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;-0.0406302501223311;0.0707955798126302;28.28212903982394;87.93333333333334;;0;2;45.454545454545446;12.066666666666666;2879;0;spacetask012;;;0;0;16
7;1648544004524;29/03/2022 08:53:24;1648544004482;2;29/03/2022 10:53:24;74063;22;task-uyaf;;20892862;imie71n7;6180731;;complete;;;mobile;Apple iPhone;iOS 15.3.1;Mobile Safari 15.3;375x812;724x285;Social_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;0.31460888196772;-0.0440591929941641;56.37803741589549;87.93333333333334;;0;2;35.06493506493506;12.066666666666666;3071;0;spacetask012;;;0;0;16
8;1648544009686;29/03/2022 08:53:29;1648544009648;2;29/03/2022 10:53:29;74063;22;task-uyaf;;20892862;imie71n7;6180731;;complete;;;mobile;Apple iPhone;iOS 15.3.1;Mobile Safari 15.3;375x812;724x285;Social_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;0.012016059767646;-0.0491577779327425;66.83223179113358;85.92222222222222;;0;2;72.72727272727279;14.077777777777778;4051;0;spacetask012;;;0;0;16
9;1648544012706;29/03/2022 08:53:32;1648544012689;2;29/03/2022 10:53:32;74063;22;task-uyaf;;20892862;imie71n7;6180731;;complete;;;mobile;Apple iPhone;iOS 15.3.1;Mobile Safari 15.3;375x812;724x285;Social_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;0.131582620557324;-0.111453799837956;49.506290832585265;91.95555555555555;;0;2;0;8.044444444444444;1459;0;spacetask012;;;0;0;16
10;1648544017881;29/03/2022 08:53:37;1648544017826;2;29/03/2022 10:53:37;74063;22;task-uyaf;;20892862;imie71n7;6180731;;complete;;;mobile;Apple iPhone;iOS 15.3.1;Mobile Safari 15.3;375x812;724x285;Social_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;-0.0695711223544351;-0.0466173093359548;43.20392210233295;81.89999999999999;1;8;2;32.467532467532465;18.1;3866;82;spacetask012;;;0;0;24
