Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;originalHint;originalResult;participantPosition;participantConfidence;success;trialScore;level;distanceMovedX;distanceMovedY;timeToComplete;actualTrialScore;trialName;tutorialRepeated;timedOut;timedOutCount;reward;totalScore
1;1658941395897;27/07/2022 17:03:15;1658941394004;3;27/07/2022 20:03:14;74063;29;task-6sm9;;23336588;f05iqc79;6847704;;live;;;mobile;Apple iPhone;iOS 15.5;Mobile Safari 15.5;390x844;750x307;Social Task Done;;;SpaceTaskSimple;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;Social Task Done;-0.0173927805886088;-0.0116543273339887;53.841410993193975;100;;0;2;29.87012987012987;0;3970;0;spacetask003reversed;;;0;0;0
2;1658941409940;27/07/2022 17:03:29;1658941407509;3;27/07/2022 20:03:27;74063;29;task-6sm9;;23336588;f05iqc79;6847704;;live;;;mobile;Apple iPhone;iOS 15.5;Mobile Safari 15.5;390x844;750x307;Social Task Done;;;SpaceTaskSimple;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;Social Task Done;0.032895655139331;-0.0278634499594891;87.6923076923077;100;;0;2;10.38961038961039;0;1617;0;spacetask003reversed;;1;1;0;0
3;1658941424112;27/07/2022 17:03:44;1658941416298;3;27/07/2022 20:03:36;74063;29;task-6sm9;;23336588;f05iqc79;6847704;;live;;;mobile;Apple iPhone;iOS 15.5;Mobile Safari 15.5;390x844;750x307;Social Task Done;;;SpaceTaskSimple;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;Social Task Done;0.0030040149419115;-0.0122894444831856;44.281433778731774;100;;0;2;33.76623376623377;0;4463;0;spacetask003reversed;;;0;0;0
4;1658941451632;27/07/2022 17:04:11;1658941429052;3;27/07/2022 20:03:49;74063;29;task-6sm9;;23336588;f05iqc79;6847704;;live;;;mobile;Apple iPhone;iOS 15.5;Mobile Safari 15.5;390x844;750x307;Social Task Done;;;SpaceTaskSimple;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;Social Task Done;0.0786522204919299;-0.011014798248541;41.80920642287384;100;;0;2;18.181818181818183;0;3069;0;spacetask003reversed;;1;1;0;0
5;1658941451813;27/07/2022 17:04:11;1658941444309;3;27/07/2022 20:04:04;74063;29;task-6sm9;;23336588;f05iqc79;6847704;;live;;;mobile;Apple iPhone;iOS 15.5;Mobile Safari 15.5;390x844;750x307;Social Task Done;;;SpaceTaskSimple;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;Social Task Done;-0.0101575625305828;0.0176988949531576;61.623480312408354;100;;0;2;9.090909090909092;0;4553;0;spacetask003reversed;;1;1;0;0
6;1658941451813;27/07/2022 17:04:11;1658941451281;3;27/07/2022 20:04:11;74063;29;task-6sm9;;23336588;f05iqc79;6847704;;live;;;mobile;Apple iPhone;iOS 15.5;Mobile Safari 15.5;390x844;750x307;Social Task Done;;;SpaceTaskSimple;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;Social Task Done;0.00998193818586438;-0.0390252855032758;36.20210604590612;72.91666666666667;;0;2;25.97402597402597;27.08333333333333;4385;0;spacetask003reversed;;;0;0;0
7;1658941466646;27/07/2022 17:04:26;1658941465070;3;27/07/2022 20:04:25;74063;29;task-6sm9;;23336588;f05iqc79;6847704;;live;;;mobile;Apple iPhone;iOS 15.5;Mobile Safari 15.5;390x844;750x307;Social Task Done;;;SpaceTaskSimple;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;Social Task Done;-0.00978121374385207;0.0145302228268093;50.261864999967464;100;1;10;2;31.16883116883117;0;4466;100;spacetask003reversed;;1;1;0;10
8;1658941480866;27/07/2022 17:04:40;1658941471973;3;27/07/2022 20:04:31;74063;29;task-6sm9;;23336588;f05iqc79;6847704;;live;;;mobile;Apple iPhone;iOS 15.5;Mobile Safari 15.5;390x844;750x307;Social Task Done;;;SpaceTaskSimple;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;Social Task Done;0.00395935915052812;0.0232085318066533;53.658374844653736;100;1;10;2;11.688311688311687;0;3563;100;spacetask003reversed;;;0;0;20
9;1658941481030;27/07/2022 17:04:41;1658941479326;3;27/07/2022 20:04:39;74063;29;task-6sm9;;23336588;f05iqc79;6847704;;live;;;mobile;Apple iPhone;iOS 15.5;Mobile Safari 15.5;390x844;750x307;Social Task Done;;;SpaceTaskSimple;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;Social Task Done;-0.0254453816688188;-0.0147162534883433;56.67677993155286;100;;0;2;23.376623376623375;0;4162;0;spacetask003reversed;;;0;0;20
10;1658941495197;27/07/2022 17:04:55;1658941485764;3;27/07/2022 20:04:45;74063;29;task-6sm9;;23336588;f05iqc79;6847704;;live;;;mobile;Apple iPhone;iOS 15.5;Mobile Safari 15.5;390x844;750x307;Social Task Done;;;SpaceTaskSimple;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;Social Task Done;-0.000258425212472053;-0.00433432873583785;50.76923076923077;100;1;10;2;42.857142857142854;0;4863;100;spacetask003reversed;;;0;0;30
11;1658941542330;27/07/2022 17:05:42;1658941540594;3;27/07/2022 20:05:40;74063;29;task-6sm9;;23336588;f05iqc79;6847704;;live;;;mobile;Apple iPhone;iOS 15.5;Mobile Safari 15.5;390x844;750x307;Social Task Done;;;SpaceTaskSimple;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;Social Task Done;-0.192141871986294;0.0767640870122194;29.891846439862668;100;;0;3;51.94805194805194;0;3751;0;spacetask003reversed;;1;2;0;30
