Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;originalHint;originalResult;participantPosition;participantConfidence;success;trialScore;level;distanceMovedX;distanceMovedY;timeToComplete;actualTrialScore;trialName;tutorialRepeated;timedOut;timedOutCount;reward;totalScore
1;1669064514975;21/11/2022 21:01:54;1669064514803;0;21/11/2022 21:01:54;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;-0.000258425212472053;-0.00433432873583785;42.58310483984952;60;1;6;2;16.883116883116884;40;4343;60;spacetask003;;;0;0;6
2;1669064524439;21/11/2022 21:02:04;1669064524353;0;21/11/2022 21:02:04;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;-0.0254453816688188;-0.0147162534883433;65.38214157508129;52;;0;2;20.77922077922078;48;4786;0;spacetask003;;;0;0;6
3;1669064538514;21/11/2022 21:02:18;1669064538490;0;21/11/2022 21:02:18;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;0.00395935915052812;0.0232085318066533;43.86673089874741;28;1;3;2;0;72;4041;28;spacetask003;;1;1;0;9
4;1669064544686;21/11/2022 21:02:24;1669064544667;0;21/11/2022 21:02:24;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;-0.00978121374385207;0.0145302228268093;82.32745156905068;60;;0;2;0;40;2963;0;spacetask003;;;0;0;9
5;1669064552416;21/11/2022 21:02:32;1669064552403;0;21/11/2022 21:02:32;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;0.00998193818586438;-0.0390252855032758;56.67436781639318;20;1;2;2;14.285714285714285;80;3822;20;spacetask003;;;0;0;11
6;1669064557024;21/11/2022 21:02:37;1669064557019;0;21/11/2022 21:02:37;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;-0.0101575625305828;0.0176988949531576;54.394760068981185;92;1;9;2;19.480519480519483;8;4240;92;spacetask003;;;0;0;20
7;1669064564520;21/11/2022 21:02:44;1669064564513;0;21/11/2022 21:02:44;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;0.0786522204919299;-0.011014798248541;43.07692307692308;100;;0;2;36.36363636363637;0;3754;0;spacetask003;;;0;0;20
8;1669064571876;21/11/2022 21:02:51;1669064571869;0;21/11/2022 21:02:51;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;0.0030040149419115;-0.0122894444831856;33.45511346546695;68;;0;2;0;32;3909;0;spacetask003;;;0;0;20
9;1669064576652;21/11/2022 21:02:56;1669064576645;0;21/11/2022 21:02:56;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;0.032895655139331;-0.0278634499594891;47.6198502536905;76;1;8;2;0;24;2943;76;spacetask003;;;0;0;28
10;1669064582758;21/11/2022 21:03:02;1669064582752;0;21/11/2022 21:03:02;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;-0.0173927805886088;-0.0116543273339887;47.69148120261714;100;1;10;2;0;0;2844;100;spacetask003;;;0;0;38
11;1669064609243;21/11/2022 21:03:29;1669064609236;0;21/11/2022 21:03:29;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;0.00360582136564679;-0.0337421633190303;43.999077922639415;72;1;7;3;0;28;3422;72;spacetask003;;;0;0;45
12;1669064615691;21/11/2022 21:03:35;1669064615686;0;21/11/2022 21:03:35;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;0.0073703898304502;0.0196427316364982;54.19306245488187;76;1;8;3;12.987012987012985;24;3132;76;spacetask003;;;0;0;53
13;1669064630173;21/11/2022 21:03:50;1669064630144;0;21/11/2022 21:03:50;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;-0.0263715301482647;0.0812520593091491;41.50917193450503;100;;0;3;0;0;2123;0;spacetask003;;1;1;0;53
14;1669064637638;21/11/2022 21:03:57;1669064637637;0;21/11/2022 21:03:57;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;-0.0827010888470549;-0.0386007576506106;51.71423162777361;100;;0;3;20.77922077922078;0;4392;0;spacetask003;;;0;0;53
15;1669064643839;21/11/2022 21:04:03;1669064643836;0;21/11/2022 21:04:03;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;0.0221249651045045;-0.0273088578379616;46.81219950002837;72;1;7;3;9.090909090909092;28;3843;72;spacetask003;;;0;0;60
16;1669064651082;21/11/2022 21:04:11;1669064651078;0;21/11/2022 21:04:11;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;-0.0172941258816485;0.0014511067497609;46.239493853784474;100;;0;3;38.961038961038966;0;4461;0;spacetask003;;;0;0;60
17;1669064659662;21/11/2022 21:04:19;1669064659660;0;21/11/2022 21:04:19;74063;36;task-vigd;;25383706;rlgr5y41;7510465;;live;;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 14.1.2;1440x900;1440x900;Space_Task_Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;0.0246963441992948;0.0314931123307011;47.950528723911596;100;;0;3;31.16883116883117;0;4905;0;spacetask003;;;0;0;60
