Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;Randomise questionnaire elements?;END QUESTIONNAIRE
1;1669638354321;28/11/2022 12:25:54;1669638354211;0;28/11/2022 12:25:54;74063;37;questionnaire-moh2;;25518589;fjtm0lvf;7551072;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.6.1;1440x900;1440x741;CEQ__cannabis_user_done;;;Questionnaire end;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;6658
1;1669642706698;28/11/2022 13:38:26;1669642706552;0;28/11/2022 13:38:26;74063;37;questionnaire-moh2;;25520977;nm7mj1mw;7551681;;live;;;mobile;Apple iPhone;iOS 16.1.1;Mobile Safari 16.1;428x926;832x345;CEQ__cannabis_user_done;;;Questionnaire end;2;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;8987
1;1669646926707;28/11/2022 14:48:46;1669646926405;0;28/11/2022 14:48:46;74063;37;questionnaire-moh2;;25523486;f4pd38ku;7552110;;live;;;mobile;Apple iPhone;iOS 15.6.1;Instagram 261.0.0.18.106;414x736;414x696;CEQ__cannabis_user_done;;;Questionnaire end;2;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;No;29540
1;1669647927384;28/11/2022 15:05:27;1669647927116;0;28/11/2022 15:05:27;74063;37;questionnaire-moh2;;25524024;5k4n8ml9;7552345;;live;;;mobile;Apple iPhone;iOS 15.6.1;Mobile Safari 15.6.1;414x736;414x617;CEQ__cannabis_user_done;;;Questionnaire end;2;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;3956
1;1669814401227;30/11/2022 13:20:01;1669814400077;0;30/11/2022 13:20:00;74063;37;questionnaire-moh2;;25574230;bsleg7if;7565359;;live;;;mobile;undefined AC2001;Android 12;Chrome 107.0.0.0;384x854;384x693;Social Task Done;;;Questionnaire end;2;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;;Social Task Done;No;7843
1;1669814631071;30/11/2022 13:23:51;1669814629940;5.5;30/11/2022 18:53:49;74063;37;questionnaire-moh2;;25574448;ppmjf9at;7565384;;live;;;mobile;undefined Infinix X689;Android 11;Chrome 107.0.0.0;360x820;360x680;Social Task Done;;;Questionnaire end;2;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;;Social Task Done;No;13360
1;1669814676996;30/11/2022 13:24:36;1669814675700;5.5;30/11/2022 18:54:35;74063;37;questionnaire-moh2;;25574480;p0h72jhe;7565358;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 107.0.1418.56;1536x864;1536x746;Social_Task_Done;;;Questionnaire end;2;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;6703
1;1669814743442;30/11/2022 13:25:43;1669814755394;5.5;30/11/2022 18:55:55;74063;37;questionnaire-moh2;;25574512;2pibu9ll;7565363;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 107.0.0.0;1536x864;1536x746;Space Task Done;;;Questionnaire end;2;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;No;10691
1;1669814821833;30/11/2022 13:27:01;1669814821049;5.5;30/11/2022 18:57:01;74063;37;questionnaire-moh2;;25574552;cjdizwr2;7565375;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 108.0.0.0;1920x1080;1920x937;CEQ_done_no_cannabis;;;Questionnaire end;2;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;25171
1;1669814904466;30/11/2022 13:28:24;1669814903981;5.5;30/11/2022 18:58:23;74063;37;questionnaire-moh2;;25574610;dq1uhzhb;7565378;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 107.0;1536x864;1536x750;Social_Task_Done;;;Questionnaire end;2;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;9128
1;1669815188573;30/11/2022 13:33:08;1669815194424;5.5;30/11/2022 19:03:14;74063;37;questionnaire-moh2;;25574778;efkukbp9;7565382;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 107.0.0.0;1366x768;1366x663;CEQ_done_no_cannabis;;;Questionnaire end;2;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;32381
